,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
11167,INN11206,1,0,0,3,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,66.0,0,Not_Canceled,2018-03-08
11168,INN11207,1,0,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,75.0,0,Not_Canceled,2018-11-21
11169,INN11208,2,2,1,3,Meal Plan 1,0,Room_Type 6,176,Online,0,0,0,169.88,3,Not_Canceled,2018-10-24
11170,INN11209,1,0,0,4,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,65.0,0,Not_Canceled,2017-12-01
11171,INN11210,2,0,1,1,Meal Plan 1,0,Room_Type 1,29,Online,0,0,0,104.0,0,Canceled,2018-12-17
11172,INN11211,2,0,0,2,Meal Plan 2,0,Room_Type 1,35,Online,0,0,0,116.1,0,Canceled,2018-03-16
11173,INN11212,2,1,0,4,Meal Plan 1,0,Room_Type 2,11,Offline,0,0,0,78.94,2,Not_Canceled,2017-09-08
11174,INN11213,2,0,0,2,Meal Plan 1,0,Room_Type 1,153,Online,0,0,0,109.8,1,Canceled,2018-07-22
11175,INN11214,2,0,2,2,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,80.75,0,Not_Canceled,2018-09-18
11176,INN11215,2,0,2,5,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,79.2,0,Canceled,2017-08-17
11177,INN11216,2,0,2,5,Meal Plan 1,0,Room_Type 1,31,Online,0,0,0,129.6,1,Not_Canceled,2018-08-23
11178,INN11217,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,Corporate,1,0,1,65.0,0,Not_Canceled,2018-12-09
11179,INN11218,2,0,0,3,Not Selected,0,Room_Type 1,8,Online,0,0,0,116.67,1,Not_Canceled,2018-11-03
11180,INN11219,2,0,0,2,Meal Plan 1,0,Room_Type 1,86,Corporate,0,0,0,100.0,0,Not_Canceled,2017-09-09
11181,INN11220,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,Offline,0,0,0,60.0,0,Not_Canceled,2018-01-22
11182,INN11221,2,0,0,2,Not Selected,0,Room_Type 1,181,Online,0,0,0,71.1,0,Canceled,2018-11-18
11183,INN11222,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,0,0,0,110.0,0,Canceled,2018-10-12
11184,INN11223,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Offline,0,0,0,89.0,0,Canceled,2018-11-03
11185,INN11224,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,115.0,1,Canceled,2018-09-13
11186,INN11225,2,0,0,4,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,116.75,1,Not_Canceled,2017-09-09
11187,INN11226,2,0,0,4,Not Selected,0,Room_Type 1,160,Online,0,0,0,97.75,0,Canceled,2018-07-06
11188,INN11227,2,0,2,3,Meal Plan 1,0,Room_Type 1,136,Online,0,0,0,83.12,1,Not_Canceled,2018-08-11
11189,INN11228,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,81.0,0,Not_Canceled,2018-01-27
11190,INN11229,2,0,1,2,Not Selected,0,Room_Type 1,128,Online,0,0,0,85.5,0,Canceled,2018-06-27
11191,INN11230,2,0,2,1,Meal Plan 1,0,Room_Type 1,39,Offline,0,0,0,63.0,0,Not_Canceled,2017-11-07
11192,INN11231,3,0,1,2,Meal Plan 1,0,Room_Type 4,165,Online,0,0,0,151.2,0,Canceled,2018-10-07
11193,INN11232,2,2,0,2,Meal Plan 1,0,Room_Type 6,31,Online,0,0,0,198.9,0,Canceled,2018-05-06
11194,INN11233,2,0,2,7,Meal Plan 1,0,Room_Type 1,88,Online,0,0,0,85.51,1,Not_Canceled,2018-03-17
11195,INN11234,1,0,1,0,Meal Plan 1,0,Room_Type 1,11,Corporate,0,0,0,112.88,0,Not_Canceled,2018-09-05
11196,INN11235,2,0,1,2,Meal Plan 2,0,Room_Type 1,4,Offline,0,0,0,117.0,0,Not_Canceled,2018-02-08
11197,INN11236,2,0,2,2,Meal Plan 1,0,Room_Type 1,89,Offline,0,0,0,72.25,3,Not_Canceled,2018-07-17
11198,INN11237,1,0,0,1,Not Selected,1,Room_Type 1,17,Online,0,0,0,104.0,1,Not_Canceled,2017-11-06
11199,INN11238,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,140.0,0,Not_Canceled,2018-06-02
11200,INN11239,2,0,0,2,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,104.85,0,Not_Canceled,2017-10-16
11201,INN11240,2,1,2,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,123.84,1,Canceled,2018-10-22
11202,INN11241,2,0,0,3,Meal Plan 2,0,Room_Type 1,203,Online,0,0,0,112.5,0,Not_Canceled,2018-12-08
11203,INN11242,2,2,0,1,Meal Plan 1,0,Room_Type 6,23,Online,0,0,0,250.0,1,Canceled,2017-09-26
11204,INN11243,3,0,0,2,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,142.0,4,Not_Canceled,2017-10-01
11205,INN11244,2,0,0,4,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,109.8,2,Not_Canceled,2018-08-30
11206,INN11245,2,1,1,2,Meal Plan 1,0,Room_Type 4,31,Offline,0,0,0,90.0,1,Not_Canceled,2017-10-26
11207,INN11246,2,0,0,4,Meal Plan 1,0,Room_Type 1,137,Online,0,0,0,100.8,0,Canceled,2018-08-23
11208,INN11247,2,0,0,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,104.4,2,Not_Canceled,2018-10-25
11209,INN11248,2,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,87.0,1,Canceled,2017-11-27
11210,INN11249,2,0,1,1,Meal Plan 1,0,Room_Type 1,38,Offline,0,0,0,85.5,0,Not_Canceled,2018-06-18
11211,INN11250,2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,77.76,0,Not_Canceled,2018-11-03
11212,INN11251,1,0,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,0,0,0,71.0,0,Not_Canceled,2018-01-19
11213,INN11252,2,0,1,0,Meal Plan 1,0,Room_Type 1,133,Online,0,0,0,118.8,2,Not_Canceled,2018-10-03
11214,INN11253,2,0,2,5,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,72.0,0,Not_Canceled,2018-03-10
11215,INN11254,2,0,0,2,Meal Plan 1,0,Room_Type 4,21,Online,0,0,0,144.0,1,Not_Canceled,2018-04-13
11216,INN11255,2,0,0,3,Meal Plan 2,0,Room_Type 1,119,Offline,0,0,0,97.75,1,Canceled,2018-07-13
11217,INN11256,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,114.0,1,Not_Canceled,2017-09-15
11218,INN11257,1,0,0,3,Meal Plan 1,0,Room_Type 1,145,Online,0,0,0,95.4,0,Canceled,2018-06-02
11219,INN11258,1,0,2,2,Meal Plan 1,0,Room_Type 1,116,Offline,0,0,0,61.0,0,Canceled,2018-02-28
11220,INN11259,2,0,2,2,Meal Plan 2,1,Room_Type 4,191,Online,0,0,0,153.5,1,Canceled,2018-08-14
11221,INN11260,2,0,2,2,Meal Plan 1,0,Room_Type 1,229,Online,0,0,0,89.25,0,Canceled,2018-10-22
11222,INN11261,2,0,1,3,Meal Plan 1,0,Room_Type 4,38,Offline,0,0,0,60.0,0,Not_Canceled,2017-11-05
11223,INN11262,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,100.0,0,Not_Canceled,2017-10-02
11224,INN11263,1,0,1,2,Meal Plan 1,0,Room_Type 1,90,Online,0,0,0,90.9,1,Canceled,2018-04-18
11225,INN11264,2,0,0,1,Meal Plan 1,0,Room_Type 1,20,Corporate,0,0,0,75.0,0,Not_Canceled,2018-06-29
11226,INN11265,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Offline,0,0,0,115.0,1,Canceled,2018-08-18
11227,INN11266,2,0,0,4,Meal Plan 1,0,Room_Type 4,95,Online,0,0,0,93.08,1,Not_Canceled,2018-04-05
11228,INN11267,1,0,1,2,Meal Plan 1,0,Room_Type 4,4,Aviation,0,0,0,110.0,0,Not_Canceled,2018-10-10
11229,INN11268,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,Not_Canceled,2018-04-06
11230,INN11269,2,0,1,2,Meal Plan 1,0,Room_Type 1,23,Offline,0,0,0,60.0,0,Not_Canceled,2018-01-01
11231,INN11270,2,1,0,1,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,114.3,1,Not_Canceled,2018-08-11
11232,INN11271,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,Online,0,0,0,140.4,0,Canceled,2018-06-04
11233,INN11272,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,85.0,0,Not_Canceled,2018-10-02
11234,INN11273,3,0,0,1,Meal Plan 1,1,Room_Type 4,1,Online,0,0,0,206.0,2,Not_Canceled,2018-05-20
11235,INN11274,2,0,0,3,Meal Plan 1,0,Room_Type 1,97,Online,0,0,0,76.5,0,Not_Canceled,2017-08-19
11236,INN11275,2,0,2,1,Not Selected,0,Room_Type 1,140,Online,0,0,0,109.2,2,Not_Canceled,2018-06-04
11237,INN11276,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,Offline,0,0,0,89.0,0,Canceled,2018-11-04
11238,INN11277,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,0,0,0,95.0,0,Canceled,2018-05-13
11239,INN11278,2,2,1,0,Meal Plan 1,0,Room_Type 6,162,Online,0,0,0,168.3,0,Canceled,2018-07-04
11240,INN11279,2,0,0,3,Meal Plan 1,0,Room_Type 4,10,Online,0,0,0,161.33,1,Not_Canceled,2018-07-07
11241,INN11280,2,0,2,1,Meal Plan 1,0,Room_Type 1,125,Online,0,0,0,114.3,1,Not_Canceled,2018-07-09
11242,INN11281,2,0,0,1,Meal Plan 1,0,Room_Type 1,22,Corporate,0,0,0,84.0,0,Not_Canceled,2018-08-12
11243,INN11282,2,2,2,3,Meal Plan 2,0,Room_Type 6,64,Online,0,0,0,214.2,1,Not_Canceled,2018-04-17
11244,INN11283,1,0,1,2,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,100.67,1,Not_Canceled,2018-11-21
11245,INN11284,2,0,2,2,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,96.3,1,Not_Canceled,2017-10-23
11246,INN11285,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,110.0,1,Not_Canceled,2018-05-24
11247,INN11286,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,0,0,0,109.0,0,Not_Canceled,2017-09-18
11248,INN11287,2,0,2,1,Meal Plan 1,0,Room_Type 1,41,Corporate,0,0,0,85.67,0,Not_Canceled,2018-03-13
11249,INN11288,2,0,0,2,Meal Plan 1,0,Room_Type 1,25,Complementary,0,0,0,0.0,0,Not_Canceled,2018-11-11
11250,INN11289,2,1,0,1,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,161.1,2,Not_Canceled,2018-08-05
11251,INN11290,3,0,0,3,Meal Plan 1,0,Room_Type 4,51,Online,0,0,0,123.3,0,Not_Canceled,2018-03-30
11252,INN11291,2,0,1,2,Meal Plan 1,0,Room_Type 4,21,Online,0,0,0,136.0,1,Not_Canceled,2018-04-11
11253,INN11292,1,0,0,2,Meal Plan 1,0,Room_Type 1,298,Offline,0,0,0,76.0,0,Not_Canceled,2018-05-10
11254,INN11293,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,85.0,0,Canceled,2018-02-10
11255,INN11294,2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,98.8,2,Not_Canceled,2018-11-22
11256,INN11295,2,0,0,3,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,111.0,0,Canceled,2018-04-07
11257,INN11296,2,0,2,5,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,86.36,0,Not_Canceled,2018-08-08
11258,INN11297,2,0,0,3,Meal Plan 1,0,Room_Type 4,143,Online,0,0,0,121.8,0,Canceled,2018-07-19
11259,INN11298,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,0,0,0,90.0,0,Not_Canceled,2018-07-30
11260,INN11299,3,0,0,2,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,137.7,1,Not_Canceled,2018-07-12
11261,INN11300,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,0,0,0,76.0,0,Not_Canceled,2018-02-27
11262,INN11301,2,0,1,2,Meal Plan 1,0,Room_Type 1,237,Online,0,0,0,89.25,0,Canceled,2017-09-14
11263,INN11302,2,0,2,1,Meal Plan 1,0,Room_Type 4,47,Online,0,0,0,89.3,1,Not_Canceled,2018-02-20
11264,INN11303,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,Offline,0,0,0,70.0,1,Not_Canceled,2018-10-29
11265,INN11304,2,0,2,1,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,119.4,1,Not_Canceled,2018-06-26
11266,INN11305,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,Canceled,2018-06-12
11267,INN11306,2,0,1,3,Meal Plan 2,0,Room_Type 1,200,Online,0,0,0,152.15,2,Canceled,2018-09-19
11268,INN11307,2,1,1,0,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,126.0,0,Canceled,2018-09-05
11269,INN11308,2,0,0,2,Meal Plan 1,0,Room_Type 1,9,Corporate,0,0,0,75.0,0,Not_Canceled,2017-11-18
11270,INN11309,2,0,0,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,169.0,2,Not_Canceled,2018-09-22
11271,INN11310,1,0,2,3,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,118.14,1,Not_Canceled,2017-09-25
11272,INN11311,1,0,0,1,Not Selected,0,Room_Type 1,3,Online,0,0,0,95.48,0,Canceled,2018-05-13
11273,INN11312,2,0,0,3,Not Selected,0,Room_Type 1,24,Online,0,0,0,119.0,2,Not_Canceled,2018-10-20
11274,INN11313,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,Offline,0,0,0,144.0,0,Canceled,2018-09-19
11275,INN11314,2,0,0,4,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,71.4,0,Not_Canceled,2017-09-16
11276,INN11315,3,0,0,3,Meal Plan 1,0,Room_Type 4,36,Online,0,0,0,152.4,2,Not_Canceled,2018-04-28
11277,INN11316,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,Not_Canceled,2018-04-06
11278,INN11317,2,0,0,4,Meal Plan 1,0,Room_Type 4,19,Offline,0,0,0,52.5,2,Not_Canceled,2017-11-04
11279,INN11318,2,0,0,2,Not Selected,0,Room_Type 1,27,Online,0,0,0,99.0,1,Canceled,2018-04-12
11280,INN11319,2,0,1,2,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,93.6,2,Canceled,2018-12-02
11281,INN11320,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,0,0,0,101.5,0,Canceled,2017-10-16
11282,INN11321,2,0,0,3,Not Selected,0,Room_Type 1,44,Online,0,0,0,107.1,0,Canceled,2018-06-30
11283,INN11322,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,Offline,0,0,0,90.67,1,Not_Canceled,2018-06-10
11284,INN11323,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,92.17,1,Not_Canceled,2017-10-19
11285,INN11324,2,0,0,1,Meal Plan 2,0,Room_Type 1,0,Online,0,0,0,0.0,0,Not_Canceled,2018-07-20
11286,INN11325,2,0,2,0,Not Selected,0,Room_Type 1,87,Online,0,0,0,79.2,0,Not_Canceled,2018-12-25
11287,INN11326,2,0,0,4,Meal Plan 1,0,Room_Type 1,156,Online,0,0,0,14.0,0,Canceled,2018-03-23
11288,INN11327,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,60.0,0,Canceled,2018-02-28
11289,INN11328,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,Offline,0,0,0,100.0,0,Not_Canceled,2017-10-15
11290,INN11329,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,0,0,0,90.0,0,Not_Canceled,2018-07-21
11291,INN11330,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,130.0,1,Canceled,2018-11-05
11292,INN11331,2,1,2,5,Meal Plan 2,0,Room_Type 1,125,Offline,0,0,0,84.58,1,Not_Canceled,2018-07-18
11293,INN11332,2,0,1,1,Meal Plan 1,0,Room_Type 5,28,Online,0,0,0,171.87,0,Not_Canceled,2018-10-08
11294,INN11333,2,0,0,4,Not Selected,0,Room_Type 1,38,Online,0,0,0,95.2,0,Not_Canceled,2018-12-27
11295,INN11334,2,2,1,5,Meal Plan 1,0,Room_Type 2,30,Online,0,0,0,139.05,0,Canceled,2018-02-02
11296,INN11335,2,0,0,2,Meal Plan 2,0,Room_Type 4,80,Offline,0,0,0,136.0,0,Not_Canceled,2017-10-09
11297,INN11336,1,0,5,10,Meal Plan 1,0,Room_Type 1,11,Aviation,0,0,0,95.0,0,Canceled,2018-05-09
11298,INN11337,3,0,2,1,Meal Plan 1,0,Room_Type 4,16,Online,0,0,0,173.67,1,Not_Canceled,2018-07-31
11299,INN11338,2,0,0,2,Meal Plan 1,0,Room_Type 4,24,Online,0,0,0,146.0,2,Not_Canceled,2018-06-09
11300,INN11339,2,0,0,2,Meal Plan 1,1,Room_Type 1,2,Online,0,0,0,179.0,1,Not_Canceled,2018-08-09
11301,INN11340,2,0,1,2,Meal Plan 1,0,Room_Type 4,20,Online,0,0,0,99.0,1,Not_Canceled,2018-01-29
11302,INN11341,1,0,0,1,Meal Plan 1,0,Room_Type 1,75,Corporate,0,0,0,65.0,0,Not_Canceled,2017-12-09
11303,INN11342,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,0,0,0,115.0,0,Canceled,2018-07-21
11304,INN11343,2,1,2,5,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,121.5,0,Canceled,2018-07-23
11305,INN11344,2,1,0,1,Not Selected,0,Room_Type 1,1,Online,0,0,0,140.0,0,Not_Canceled,2018-10-05
11306,INN11345,2,0,2,5,Meal Plan 1,0,Room_Type 1,214,Online,0,0,0,90.95,1,Not_Canceled,2018-10-20
11307,INN11346,2,0,2,5,Meal Plan 1,0,Room_Type 1,206,Online,0,0,0,102.85,0,Canceled,2018-10-06
11308,INN11347,1,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,85.0,1,Not_Canceled,2018-09-11
11309,INN11348,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,Not_Canceled,2017-11-20
11310,INN11349,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,0,0,0,109.8,0,Canceled,2018-10-28
11311,INN11350,1,0,2,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,82.0,0,Not_Canceled,2018-01-03
11312,INN11351,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75.0,0,Canceled,2018-04-06
11313,INN11352,3,0,1,2,Meal Plan 1,1,Room_Type 4,13,Online,0,0,0,192.67,1,Not_Canceled,2018-03-25
11314,INN11353,2,0,0,1,Meal Plan 1,0,Room_Type 1,53,Online,0,0,0,135.9,1,Not_Canceled,2018-09-15
11315,INN11354,2,0,2,5,Meal Plan 1,0,Room_Type 1,227,Online,0,0,0,92.29,0,Canceled,2018-08-30
11316,INN11355,2,0,0,4,Meal Plan 1,0,Room_Type 4,92,Offline,0,0,0,106.08,0,Not_Canceled,2018-05-24
11317,INN11356,2,0,1,2,Meal Plan 1,0,Room_Type 4,67,Online,0,0,0,132.3,0,Canceled,2018-10-17
11318,INN11357,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Offline,0,0,0,115.0,1,Canceled,2018-08-18
11319,INN11358,2,0,0,1,Meal Plan 1,0,Room_Type 2,280,Online,0,0,0,94.95,1,Canceled,2018-08-12
11320,INN11359,2,0,1,3,Not Selected,0,Room_Type 1,180,Online,0,0,0,102.6,0,Canceled,2018-10-10
11321,INN11360,2,1,2,1,Not Selected,0,Room_Type 1,45,Online,0,0,0,96.33,1,Not_Canceled,2018-09-10
11322,INN11361,2,0,2,1,Meal Plan 2,0,Room_Type 1,150,Offline,0,0,0,101.0,0,Not_Canceled,2018-01-02
11323,INN11362,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,100.0,1,Not_Canceled,2018-05-02
11324,INN11363,2,0,2,2,Meal Plan 1,0,Room_Type 4,87,Online,0,0,0,118.35,0,Canceled,2018-10-23
11325,INN11364,2,0,0,2,Not Selected,0,Room_Type 1,15,Online,0,0,0,79.0,0,Canceled,2018-02-12
11326,INN11365,2,0,2,4,Meal Plan 1,0,Room_Type 1,24,Offline,0,0,0,85.0,0,Not_Canceled,2017-09-20
11327,INN11366,3,0,1,4,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,134.57,3,Not_Canceled,2018-06-27
11328,INN11367,2,1,1,5,Meal Plan 2,0,Room_Type 1,7,Online,0,0,0,169.17,0,Canceled,2018-03-07
11329,INN11368,2,0,2,1,Meal Plan 1,0,Room_Type 4,36,Online,0,0,0,123.97,1,Canceled,2018-09-04
11330,INN11369,1,0,0,2,Not Selected,0,Room_Type 1,57,Online,0,0,0,111.6,2,Not_Canceled,2018-05-18
11331,INN11370,2,0,0,3,Meal Plan 1,0,Room_Type 4,161,Online,0,0,0,128.7,0,Canceled,2018-05-19
11332,INN11371,2,0,2,3,Meal Plan 1,0,Room_Type 1,152,Online,0,0,0,101.15,0,Canceled,2018-07-22
11333,INN11372,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,Offline,0,0,0,85.0,0,Not_Canceled,2018-04-15
11334,INN11373,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Offline,0,0,0,100.0,0,Canceled,2018-05-20
11335,INN11374,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,110.0,1,Not_Canceled,2018-05-24
11336,INN11375,2,0,2,3,Meal Plan 1,0,Room_Type 1,157,Online,0,0,0,90.95,0,Canceled,2018-06-26
11337,INN11376,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,145.0,2,Not_Canceled,2017-09-22
11338,INN11377,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,Not_Canceled,2017-10-17
11339,INN11378,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,147.0,0,Not_Canceled,2018-03-31
11340,INN11379,2,0,1,3,Not Selected,1,Room_Type 1,5,Online,0,0,0,123.0,1,Not_Canceled,2017-10-19
11341,INN11380,1,0,1,2,Meal Plan 1,0,Room_Type 1,237,Online,0,0,0,80.75,0,Canceled,2017-09-14
11342,INN11381,2,0,0,2,Meal Plan 1,0,Room_Type 1,67,Offline,0,0,0,68.0,0,Not_Canceled,2018-12-16
11343,INN11382,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,178.0,0,Not_Canceled,2018-03-25
11344,INN11383,2,0,2,3,Meal Plan 2,0,Room_Type 4,68,Online,0,0,0,130.9,1,Not_Canceled,2018-04-01
11345,INN11384,2,0,2,2,Meal Plan 1,0,Room_Type 1,122,Online,0,0,0,114.3,1,Canceled,2018-08-06
11346,INN11385,2,0,2,1,Meal Plan 1,0,Room_Type 1,51,Offline,0,0,0,85.5,0,Not_Canceled,2018-06-26
11347,INN11386,2,0,1,2,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,72.25,0,Not_Canceled,2018-08-15
11348,INN11387,2,0,2,1,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,109.0,1,Not_Canceled,2018-12-03
11349,INN11388,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,75.0,1,Not_Canceled,2018-10-30
11350,INN11389,2,0,2,3,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,89.25,0,Not_Canceled,2017-10-10
11351,INN11390,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,0,0,0,70.0,0,Not_Canceled,2017-12-29
11352,INN11391,2,0,0,2,Not Selected,0,Room_Type 1,163,Online,0,0,0,116.1,0,Canceled,2018-09-07
11353,INN11392,2,0,0,1,Meal Plan 1,0,Room_Type 1,64,Complementary,0,0,0,0.0,1,Not_Canceled,2018-10-15
11354,INN11393,2,0,1,1,Meal Plan 1,0,Room_Type 1,109,Complementary,0,0,0,0.0,0,Not_Canceled,2018-10-03
11355,INN11394,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,95.0,1,Not_Canceled,2017-09-02
11356,INN11395,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,135.0,2,Not_Canceled,2017-12-31
11357,INN11396,2,0,1,1,Not Selected,0,Room_Type 1,203,Online,0,0,0,95.4,1,Not_Canceled,2018-06-06
11358,INN11397,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,Offline,1,1,0,90.0,0,Not_Canceled,2017-10-06
11359,INN11398,2,1,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,171.0,2,Not_Canceled,2018-08-07
11360,INN11399,2,0,2,1,Meal Plan 1,0,Room_Type 2,274,Online,0,0,0,96.5,1,Not_Canceled,2018-07-31
11361,INN11400,2,1,0,3,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,84.33,0,Not_Canceled,2018-03-22
11362,INN11401,2,0,1,0,Not Selected,0,Room_Type 1,19,Online,0,0,0,129.0,2,Not_Canceled,2018-09-25
11363,INN11402,2,0,1,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,111.83,0,Canceled,2018-08-29
11364,INN11403,2,0,0,1,Meal Plan 1,0,Room_Type 5,15,Corporate,1,1,5,109.0,0,Not_Canceled,2018-12-15
11365,INN11404,1,0,2,1,Meal Plan 1,0,Room_Type 1,4,Corporate,1,3,28,65.0,0,Not_Canceled,2018-04-10
11366,INN11405,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Aviation,0,0,0,95.0,0,Not_Canceled,2018-04-07
11367,INN11406,2,0,1,3,Meal Plan 1,0,Room_Type 1,203,Online,0,0,0,90.95,0,Canceled,2018-08-29
11368,INN11407,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,Online,0,0,0,137.0,1,Not_Canceled,2017-12-31
11369,INN11408,1,2,2,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,111.0,1,Not_Canceled,2018-02-20
11370,INN11409,2,0,2,3,Meal Plan 1,0,Room_Type 4,45,Online,0,0,0,96.9,2,Not_Canceled,2018-11-24
11371,INN11410,2,0,1,4,Meal Plan 1,0,Room_Type 1,135,Online,0,0,0,107.95,1,Canceled,2018-07-06
11372,INN11411,2,1,0,1,Meal Plan 1,0,Room_Type 1,91,Online,0,0,0,121.5,2,Canceled,2018-10-07
11373,INN11412,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,Offline,0,0,0,109.0,0,Not_Canceled,2018-01-02
11374,INN11413,2,0,2,5,Meal Plan 1,0,Room_Type 1,121,Online,0,0,0,95.81,0,Not_Canceled,2018-06-26
11375,INN11414,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,Not_Canceled,2018-10-13
